Name of the college,District
GIET Degree College,East Godavari
GIET Engineering College,
GIET School of Pharmacy,
Gill Institute of Higher Education,amroha
Gindo Devi Girls College,
Ginni Devi Modi Girls' P.G. College,
Ginnidevi Satyanarayan Sekhsarai Girls (P.G) College,
Girand Singh Memorial Degree College,Moradabad
Girdari Lal Dogra Memorial Degree College,Jammu
Giridih College,
Girija Devi Degree College,Farrukhabad
Girijananda Chowdhury Institute of Management and Technology (GIMT),
Girijananda Chowdhury Institute of Management and Technology (GIMT),Sonitpur
Girijananda Chowdhury Institute of Pharmaceutical Science,
Girish Narayan Mishra College,Rohtas
Girls Degree College,
Girls’ College,Kokrajhar
Girraj Govt. College,
Gita Vidya Mandir Girls College,
Gitarattan International Business School,
Global Academy of Technology,Bangalore
Global College of Pharmacy,
Global Educare Foundation’s Global College of Business Administration,hubli
Global Group of Institutes,Amritsar
Global Institute of Education,
Global Institute of Engineering & Technology,Rangareddy
Global Institute of Engineering and Technology,Vellore
Global Institute of Management Sciences,
Glorious College of Management & Technology,Bareilly
GLS (Induben & Ratilal K. Desai) Institute of Computer Applications,
GLS (J.P. Shah) Institute of Business Administration,
GM Institute of Technology,Davanagere
GMDC Sponsored MV & MP Ramani Arts & R K Khetani Commerce College,Kachchh
GMR Institute of Technology,Srikakulam
Gnanam School of Business,,Thanjavur
Gnanamani College of Education,
Gnanamani College of Engineering,Namakkal
Gnanamani College of Technology,Namakkal
Gnanamani Institute of Management Studies,
Goa College of Architecture,
Goa College of Home Science,
Goa College of Music,
Goa College of Pharmacy,
Goa Medical College,
Goa Vidya Prasarak Mandal’s Dr. Dada Vaidya College of Education,
Goa Vidyaprasarak Mandal’s Gopal Govind Poy Raiturcar College of Commerce and Economics,
Goalpara College,Goalpara
Gobardanga Hindu College,
Gobi Arts And Science College,Erode
Gobind Ballabh Pant Degree College,
Gobinda Prasad Mahavidyalaya,Bankura
Gobindgarh Public College,
Gochar Mahavidyalaya,
Godavari Foundation’s Dr. Ulhas Patil Homoeopathic Medical College & Hospital,Jalgaon
Godavari Foundation’s Godavari College of Engineering,Jalgaon
Godavari Institute of Engineering & Technology,East Godavari
Godda College,
Goel Institute Higher Studies Mahavidyalaya,Lucknow
Goenka College of Commerce & Business Administration,
Gogamukh College,Dhemaji
Gojan School of Business and Technology,
Gokahle Education Society’s Dr. T.K. Tope Arts and Commerce Night (Senior) College,
Gokaraju Rangaraju College of Pharmacy,
Gokaraju Rangaraju Institute of Engineering & Technology,
Gokhale Centenary College,
Gokhale Education Society’s Arts, Commerce and Science College,
Gokhale Education Society’s Arts, Commerce and Science College,Palghar
Gokhale Education Society's B.Y.K.(Sinnai) College of Commerce,
Gokhale Education Society’s N.B. Mehta (Valwada) Science College,
Gokhale Education Society’s Shri Bhausaheb Vartak Arts, Commerce & Science College,
Gokhale Education Society’s Shrimati Manjulabai Raojisa Kashatriya Arts, Fine-Arts, Babubhai Kapdia Commerce and Athawale-Kulkarni Home Science Mahila Mahavidyalaya,
Gokhale Memorial Girls' College,
Gokhul Karpoori Phuleshwari Degree College,Samastipur
Gokul Babu Degree College,Jodhpur
Gokul Das Hindu Girls College,
Gokul Kelvani Mandal Sanchalit Gardi Arts and Commerce College,
Gokul Prabhati Ruler College,
Gokula Krishna College of Engineering,,
Gokula Krishna College of Pharmacy,
Golaghat Commerce College,Golaghat
Golaghat Law College,Golaghat
Gold Field College of Education,Bangarpet
Gondal Nagarpalika Sanchalit Mahila Arts, Commerce and Home Science College,gondal
Gonna Institute of Information Technology,Visakhapatnam
Gonzaga College of Arts and Science for Women,Krishnagiri
Goodwill Christian College for Women,
Gop College,
Gopabandhu Ayurvedic Mahavidyalaya,
Gopabandhu Choudhury College,
Gopabandhu Science College,
Gopal Chandra Memorial College of Education,
Gopal Krishna Gokhale College,
Gopal Rao Patel Govt. Degree College,
Gopalan College of Engineering and Management,Bangalore
Gopaldas Jhamatmal Advani Law College,
Gopalganj Mahila Mahavidyalaya,Gopalganj
Gopalji Mahavidyalaya,
Gopalpur College,
Gopeshwar College,Gopalganj
Gopi Krishan Piramal T.T. College,
Gopichand Arya Mahila College,
Gopikabai Sita Ram Gawaride Arts & Commerce College,
Gopilal Murlidhar Sanghi College Commerce,
Gopinath Mahavidyalaya,
Gopinath Singh Mahila Mahavidyalaya,
Gorakshpithadhishwar Mahant Awedynath Mahavidyalaya,
Goreswar College,Kamrup
Gori Devi Government College For Women,
Gorubathan Government College,
Gorumahisani Iron College,
Gossaigaon B.Ed College,  Nepalpara (Habrubil),Kokrajhar
Gossaigaon College,Kokrajhar
Gossner College,
Goswami Ganesh Dutta S.D. College,
Goswami Ganesh Dutta Sanatan Dharma College,Patiala
Goswami Tulsidas Rajkiya Mahavidyalaya,
Gour Mahavidyalaya,
Gour Mohan Roy College,
Gourav Guin Memorial College,
Gourmohan Sanchin Mandal Mahavidyalaya,
Gouthami Institute of Technology and Management for Women,
Goverdhan Das Binnani Mahavidyalaya,
Governement Degree College,
Governemnt College Jawalaji,Kangra
Governemnt College of Education,
Governemnt College,
Governemnt D.B. Girl's Postgraduate College,
Governemnt Degree College,
Governemnt Girls Degree College,
Governemnt Sanskrit College,Patna
Governemnt Teacher's Training College,Saharsa
Governemnt Victoria College,
Government  College for Women,
Government  Degree College,
Government  Degree College,Sehore
Government  Degree College,Warangal
Government  Science College,
Government (Shaskiya) College,Tikamgarh
Government Adarsh Girls College,Sheopur
Government Arts & Commerce College,
Government Arts & Commerce College,,
Government Arts & Commerce College,Bharuch
Government Arts & Commerce College,Junagadh
Government Arts & Commerce College,Surat
Government Arts & Commerce College,Tapi
Government Arts & Science College for Women,
Government Arts & Science College for Women,Coimbatore
Government Arts & Science College,
Government Arts & Science College,,Tirupur
Government Arts & Science College,Krishnagiri
Government Arts & Science College,Palakkad
Government Arts & Science College,Perambalur
Government Arts & Science College,Thoothukkudi
Government Arts & Science College,Thrissur
Government Arts and Commerce College,
Government Arts and Commerce College,Amreli
Government Arts and Commerce College,Anand
Government Arts and Commerce College,Sabar Kantha
Government Arts and Science College for Women,Dharmapuri
Government Arts and Science College for Women,Malappuram
Government Arts and Science College,
Government Arts and Science College,,
Government Arts and Science College,,Malappuram
Government Arts and Science College,,Patan
Government Arts and Science College,Alappuzha
Government Arts and Science College,Ernakulam
Government Arts and Science College,Erode
Government Arts and Science College,Kozhikode
Government Arts and Science College,Namakkal
Government Arts and Science College,Palakkad
Government Arts and Science College,Panch Mahals
Government Arts and Science College,Ramanathapuram
Government Arts and Science College,Thrissur
Government Arts and Science College,Tiruppur
Government Arts and Science College,Virudhunagar
Government Arts and Science,Chennai
Government Arts College for Men,
Government Arts College for Women,
Government Arts College for Women,Salem
Government Arts College,
Government Arts College,Banas Kantha
Government Arts College,Coimbatore
Government Arts College,Karur
Government Arts College,Kota
Government Arts College,Narmada
Government Arts College,Nilgiri
Government Arts College,Panch Mahals
Government Arts College,Salem
Government Arts College,Sikar
Government Arts College,Valsad
Government Arts Girls College,Kota
Government Arts Science & Commerce College,
Government Arts, Commerce & Postgraduate College,
Government Arts, Science and Commerce College,Raigarh
Government Arya Degree College,Kangra
Government Ayurved Mahavidyalaya,
Government Ayurvedic College,Hyderabad
Government B.Ed College,
Government B.Ed. College,
Government B.Ed. Training College,,
Government Bangur College,
Government Bangur P.G. College,
Government Bikram College of Commerce,
Government Brennen College of Teacher Education,
Government Brijindra College,
Government City College,
Government College for Girls,
Government College For Girls,
Government College for Girls,Kurukshetra
Government College for Girls,Sirsa
Government College for Men,
Government College for Men,Kurnool
Government College for Women,
Government College for Women,Ambala
Government College for Women,Bhiwani
Government College for Women,Chikkaballapura
Government College for Women,Hisar
Government College for Women,Jammu
Government College for Women,Rewari
Government College for Women,Sirsa
Government College of Arts & Craft,
Government College of Arts & Science,
Government College of Arts,
Government College of Commerce & Economics,
Government College of Education,
Government College of Education,Chandigarh
Government College of Engineering & Ceramic Technology,
Government College of Engineering & Technology,Jammu
Government College of Engineering and Leather Technology,
Government College of Engineering,
Government College of Engineering,Nagpur
Government College of Engineering,Salem
Government College of Engineering,Tirunelveli
Government College of Nursing,Hyderabad
Government College of Pharmacy,Amravati
Government College of Pharmacy,Satara
Government College of Physical Education for Women,
Government College of Physical Education,
Government College of Pysical Education,
Government College of Teacher Education,
Government College of Technology,Coimbatore
Government College Peringome,Kannur
Government College Ramganjmandi,Kota
Government College Sangrah,,Sirmaur
Government College Sarona (Salhebhata),
Government College,
Government College,  Jodhpur,Jodhpur
Government College,  Makronia Bujurg,
Government College,  Rajgarh,
Government College, Bali,Pali
Government College, Gharghoda,,Raigarh
Government College, Kotri,
Government College, Rajpur, Dist. Balrampur – 497 118,Balrampur
Government College,,Jhajjar
Government College,,Sirmaur
Government College,Alwar
Government College,Ashoknagar
Government College,Balod
Government College,Balrampur
Government College,balrampur-ramanujganj
Government College,Barmer
Government College,Betul
Government College,Bhind
Government College,Bikaner
Government College,Bilaspur
Government College,Chittaurgarh
Government College,Churu
Government College,Damoh
Government College,Datia
Government College,Durg
Government College,Faridabad
Government College,Gwalior
Government College,Hamirpur
Government College,Hassan
Government College,Hisar
Government College,Hoshangabad
Government College,Jabalpur
Government College,Jaipur
Government College,Jaisalmer
Government College,Jashpur
Government College,Jhajjar
Government College,Jhunjhunun
Government College,Jodhpur
Government College,Kabeerdham
Government College,Khandwa
Government College,Korba
Government College,Kota
Government College,Kurukshetra
Government College,Lower Subansiri
Government College,Mahendragarh
Government College,Mandi
Government College,Moradabad
Government College,Morena
Government College,Pali
Government College,Panchkula
Government College,Papum Pare
Government College,Raigarh
Government College,Raisen
Government College,Ratlam
Government College,Rewa
Government College,Rewari
Government College,Rohtak
Government College,Sagar
Government College,Satna
Government College,Sehore
Government College,Sheopur
Government College,Shimla
Government College,Shivpuri
Government College,Sirmaur
Government College,Surajpur
Government College,Udaipur
Government College,Vidisha
Government College,Wayanad
Government College,Yamunanagar
Government Commerce College D,Jamnagar
Government Commerce College,
Government Commerce College,Sikar
Government D.B.K.K. Singh Arts & Commerce College,
Government D.S.V. Sanskrit College,
Government Danteshwari Girls College,
Government Danteshwari P.G. College,Bastar
Government Darbar Shastri Sanskrit College,
Government Degree  College,
Government Degree  College,Shimla
Government Degree College (Women),Kashmir
Government Degree College for Women,Adilabad
Government Degree College for Women,Chittoor
Government Degree College for Women,Hyderabad
Government Degree College for Women,Medak
Government Degree College for Women,Visakhapatnam
Government Degree College Kanjinag,Pulwama
Government Degree College Surankote,Jammu
Government Degree College Tulail,Bandipore
Government Degree College,
Government Degree College,,Bandipore
Government Degree College,,Kathua
Government Degree College,,Nizamabad
Government Degree College,,Sirmaur
Government Degree College,Adilabad
Government Degree College,Aligarh
Government Degree College,Almora
Government Degree College,Anantapur
Government Degree College,Bandipore
Government Degree College,Baramula
Government Degree College,Basti
Government Degree College,budgam
Government Degree College,Bulandshahr
Government Degree College,Chamoli
Government Degree College,Chandauli
Government Degree College,Deoria
Government Degree College,Dewas
Government Degree College,Dhalai
Government Degree College,East Godavari
Government Degree College,Garhwa
Government Degree College,Ghaziabad
Government Degree College,Guna
Government Degree College,Guntur
Government Degree College,Hyderabad
Government Degree College,Jammu
Government Degree College,Kangra
Government Degree College,Kanpur Dehat
Government Degree College,Kashmir
Government Degree College,Khammam
Government Degree College,Krishna
Government Degree College,Kulgam
Government Degree College,Kullu
Government Degree College,Kurnool
Government Degree College,Kushinagar
Government Degree College,Ladakh
Government Degree College,Mahbubnagar
Government Degree College,Mandi
Government Degree College,Mau
Government Degree College,Medak
Government Degree College,Nalgonda
Government Degree College,Nizamabad
Government Degree College,North Tripura
Government Degree College,Pithoragarh
Government Degree College,Prakasam
Government Degree College,Pulwama
Government Degree College,Rajnandgaon
Government Degree College,Ramban
Government Degree College,Rangareddy
Government Degree College,Reasi
Government Degree college,Saharanpur
Government Degree College,Samba
Government Degree College,Shimla
Government Degree College,Sirmaur
Government Degree College,Solan
Government Degree College,Sonbhadra
Government Degree College,South Tripura
Government Degree College,Sri Potti Sriramulu Nellore
Government Degree College,Srikakulam
Government Degree College,Sukma
Government Degree College,Udhampur
Government Degree College,Una
Government Degree College,Visakhapatnam
Government Degree College,Vizianagaram
Government Degree College,Warangal
Government Degree College,West Godavari
Government Degree College,Y.S.R.
Government Degree College,Yadgir
Government Degree College.,Kangra
Government Degree College.,Kathua
Government Degree Colllege,Mandi
Government Dental College & Hospital,Patiala
Government Dental College And Hospital,Amritsar
Government Dental College of Hospital,Nagpur
Government Dhuleshwar Sanskrit College,Jaipur
Government Digvijai College,Rajnandgaon
Government Dungar College,
Government Dy. S.P. Aman Thakur Memorial Degree College,
Government Engineering College,
Government Engineering College,,Thiruvananthapuram
Government Engineering College,Aravalli
Government Engineering College,Banas Kantha
Government Engineering College,Bellary
Government Engineering College,Bharuch
Government Engineering College,Bhavnagar
Government Engineering College,Bilaspur
Government Engineering College,Chamarajanagar
Government Engineering College,Chandrapur
Government Engineering College,Gandhinagar
Government Engineering College,Kachchh
Government Engineering College,Kozhikode
Government Engineering College,Palakkad
Government Engineering College,Panch Mahals
Government Engineering College,Patna
Government Engineering College,Rajkot
Government Engineering College,Thrissur
Government Engineering College,Valsad
Government Engineering College,Wayanad
Government Evening College,Kozhikode
Government First Grade Collage,Bellary
Government First Grade Collage,Kodagu
Government First Grade Collage,Mandya
Government First Grade Collage,Mysore
Government First Grade College and Centre For Post Graduate Studies,
Government First Grade College for  Women,
Government First Grade College for Women,
Government First Grade College for Women,,
Government First Grade College for Women,Dakshina Kannada
Government First Grade College for Women,Dharwad
Government First Grade College for Women,Mandya
Government First Grade College for Women,Mysore
Government First Grade College for Women,Ramanagara
Government First Grade College for Women,Tumkur
Government First Grade College for Women.,Bangalore
Government First Grade College for Women’s,
Government First Grade College for Women’s,Yadgir
Government First Grade College,
Government First Grade ColLege,
Government First Grade College,,
Government First Grade College,,Bagalkot
Government First Grade College,,Chamarajanagar
Government First Grade College,Bagalkot
Government First Grade College,Bangalore
Government First Grade College,Bangalore Rural
Government First Grade College,Belgaum
Government First Grade College,Bidar
Government First Grade College,Bijapur
Government First Grade College,Chamarajanagar
Government First Grade College,Chikkaballapura
Government First Grade College,Chikmagalur
Government First Grade College,Chitradurga
Government First Grade College,Dakshina Kannada
Government First Grade College,Davanagere
Government First Grade College,Dharwad
Government First Grade College,Gadag
Government First Grade College,Gulbarga
Government First Grade College,Hassan
Government First Grade College,Haveri
Government First Grade College,Kodagu
Government First Grade College,Kolar
Government First Grade College,Koppal
Government First Grade College,Mandya
Government First Grade College,Mysore
Government First Grade College,Raichur
Government First Grade College,Ramanagara
Government First Grade College,Shimoga
Government First Grade College,Tumkur
Government First Grade College,Udupi
Government First Grade College,uttar kannada
