Name of the college,District,State
Dr. Ambedkar Arts Science & Commerce College,,Maharashtra
Dr. Ambedkar College,,Maharashtra
Dr. Ambedkar College of Arts & Commerce,Pune,Maharashtra
Dr. Ambedkar College of Commerce and Economics,,Maharashtra
Dr. Ambedkar College of Education,Bangalore,Karnataka
Dr. Ambedkar College of Law,,Maharashtra
Dr. Ambedkar College of Social Work,,Maharashtra
Dr. Ambedkar Degree College,,Uttar Pradesh
Dr. Ambedkar Degree College of Arts and Commerce,,Karnataka
Dr. Ambedkar First Grade Arts College,,Karnataka
Dr. Ambedkar First Grade College,,Karnataka
Dr. Ambedkar Government Arts College,,Tamil Nadu
Dr. Ambedkar Government Degree College,,Uttar Pradesh
Dr. Ambedkar Government Law College,,Tamil Nadu
Dr. Ambedkar Institute of Management Studies and Research,Nagpur,Maharashtra
Dr. Ambedkar Institute of Technology,Bangalore,Karnataka
Dr. Ambedkar Institute of Technology for Handicapped,Kanpur Nagar,Uttar Pradesh
Dr. Ambedkar Memorial Institute of Information Technology & Management Science,,Odisha
Dr. Ambedkar Smarak Evam Smt. Rajkishori Devi MahilaMahavidyalaya,,Uttar Pradesh
Dr. Amit Kumar Singh Kanya Mahavidyalaya,Ghazipur,Uttar Pradesh
Dr. Annasaheb G.D. Bendale Mahila Mahavidyalaya,,Maharashtra
Dr. Anuradha Tripathi Memorial Balika Degree College,Auraiya,Uttar Pradesh
Dr. Anushka Vidhi Mahavidyalaya,,Rajasthan
Dr. APJ Abdul Kalam Government College,,Dadra and Nagar Haveli
Dr. Arun Motghare Mahavidyalaya,Bhandara,Maharashtra
Dr. Asha Smriti Mahavidyalaya,Lucknow,Uttar Pradesh
Dr. Ashok Kumar Smarak Mahavidyalaya,,Uttar Pradesh
Dr. Awdhesh Prakash Sharma Smarak Mahavidyalaya,Bara Banki,Uttar Pradesh
Dr. B. Ambedkar College of Arts Commerce & Science,,Maharashtra
Dr. B. Lal Institute of Biotechnology,,Rajasthan
Dr. B.B. Hegde First Grade College,Udupi,Karnataka
Dr. B.C. Roy Engineering College,,West Bengal
Dr. B.K. Baruah College,Nagaon,Assam
Dr. B.P.S. College,Agra,Uttar Pradesh
Dr. B.R. Ambedkar College (Arts Sc. & Commerce),,Telangana
Dr. B.R. Ambedkar First Grade College,,Karnataka
Dr. B.R. Ambedkar Government College,Kaithal,Haryana
Dr. B.R. Ambedkar Government Law College,,Puducherry
Dr. B.R. Ambedkar Govt. Girls P.G. College,,Uttar Pradesh
Dr. B.R. Ambedkar Janamshatabdi Mahavidyalaya,,Uttar Pradesh
Dr. B.R. Ambedkar Krishak Degree College,,Uttar Pradesh
Dr. B.R. Ambedkar Law College,,Uttar Pradesh
Dr. B.R. Ambedkar Mahavidyalaya,Banda,Uttar Pradesh
Dr. B.R. Ambedkar P.G. College,Jaipur,Rajasthan
Dr. B.R. Ambedkar Rajkiya Mahavidyalaya,,Uttar Pradesh
Dr. B.R. Ambedkar Satabarshiki Mahavidyalaya,North Twenty Four Parganas,West Bengal
Dr. B.R.R. Govt. College,,Telangana
Dr. Baba Saheb Ambedkar College of Arts & Commerce,,Maharashtra
Dr. Baba Saheb Ambedkar National Institute of Social Science,,Madhya Pradesh
Dr. Babasaheb Ambedkar College of Arts Science & Commerce,,Maharashtra
Dr. Babasaheb Ambedkar College of Engineering & Research,Nagpur,Maharashtra
Dr. Babasaheb Ambedkar College of Social Work,Dhule,Maharashtra
Dr. Babasaheb Ambedkar Commerce and Maharshi Vitherl Ramji Shinde Arts College,Pune,Maharashtra
Dr. Babasaheb Ambedkar Commerce Dr. M.V.R. Shinde Arts College,Pune,Maharashtra
Dr. Babasaheb Ambedkar Education Society’s B. Shankaranand Arts and Commerce College,Belgaum,Karnataka
Dr. Babasaheb Ambedkar Mahavidyalaya,,Maharashtra
Dr. Babasaheb Ambedkar Mahavidyalaya,,Maharashtra
Dr. Babasaheb Ambedkar Memorial College of Law,,Maharashtra
Dr. Babasaheb Nandurkar Sharirik Shikshan Mahavidyalaya,,Maharashtra
Dr. Balasaheb Ambedkar College of Arts & Commerce,,Maharashtra
Dr. Bhagwat Sahay Govt. College,Gwalior,Madhya Pradesh
Dr. Bhanuben Mahendra Nanavati College of Home Science,,Maharashtra
Dr. Bhavar Singh Porte Government College,,Chhattisgarh
Dr. Bheem Rao Ambedkar Mahavidyalaya,,Uttar Pradesh
Dr. Bhim Rao Ambedkar Degree College,Banda,Uttar Pradesh
Dr. Bhim Rao Ambedkar Degree College,,Uttar Pradesh
Dr. Bhim Rao Ambedkar Govt. College,,Rajasthan
Dr. Bhim Rao Ambedkar Mahavidyalaya,,Uttar Pradesh
Dr. Bhim Rao Ambedkar Mahavidyalaya,,Uttar Pradesh
Dr. Bhim Rao Ambedkar Rajkiya Mahavidyalaya,Kannauj,Uttar Pradesh
Dr. Bhimrao Ambedkar Baudhha Mahavidyalaya,,Uttar Pradesh
Dr. Bhimrao Ambedkar Government College,,Madhya Pradesh
Dr. Bhimrao Ambedkar Government College,,Chhattisgarh
Dr. Bhimrao Ambedkar Government College,Mahasamund,Chhattisgarh
Dr. Bhimrao Ambedkar Government P.G. College,,Rajasthan
Dr. Bhimrao Ambedkar Mahavidyalaya,,Uttar Pradesh
Dr. Bhimrao Ambedkar Mahavidyalaya,Gonda,Uttar Pradesh
Dr. Bhimrao Ambedkar Rajkiya Mahavidyalaya,,Uttar Pradesh
Dr. Bhimrao Ambedkar Rajkiya Mahavidyalaya,Jodhpur,Rajasthan
Dr. Bhupendra Nath Dutta Smriti Mahavidyalaya,,West Bengal
Dr. C.D. Deshmukh Commerce & Sau. K.G. Tamhane Arts College,,Maharashtra
Dr. C.V. Raman College of Administration and Network Sciences,Davanagere,Karnataka
Dr. Chandrama Singh Mahila Mahavidyalaya,Varanasi,Uttar Pradesh
Dr. Cheeday Satyanarayana Degree & P.G. College,West Godavari,Andhra Pradesh
Dr. D. P. Singh Mahavidyalaya,Shahjahanpur,Uttar Pradesh
Dr. D. Y. PatilPratishthan’s  Dr. D.Y. Patil Institute of Management Studies,Pune,Maharashtra
Dr. D.G. Shetty Educational Society’s R.S. Shetty College of Commerce,,Karnataka
Dr. D.P. Singh Mahavidyalaya,Shahjahanpur,Uttar Pradesh
Dr. D.Y. Patil Educational Federation Dr. D.Y. Patil Institute of Management & Entrepreneur Development,Pune,Maharashtra
Dr. D.Y. Patil Pratishthan,,Maharashtra
Dr. D.Y. Patil Unitech Society Pune's Dr. D.Y. Patil Arts Commerce and Science College,Pune,Maharashtra
Dr. D.Y. Patil Unitech Society's Dr. D.Y. Patil Arts Commerce and Science College,Pune,Maharashtra
Dr. Datar Science Dr. Behera aRts & Shri P.J. Commerce College,,Maharashtra
Dr. G. Shankar Government Women's First Grade College and P.G. Study Centre,,Karnataka
Dr. G.R. Damodaran College of Science,Coimbatore,Tamil Nadu
Dr. Ganesh Dass D.A.V. College of Education for Women,,Haryana
Dr. Ghali College,,Maharashtra
Dr. Ghanshyam Singh Mahavidyalaya,,Uttar Pradesh
Dr. Gopalrao Khedkar Mahavidyalaya,,Maharashtra
Dr. Govind Prasad Rani Devi Patel Mahavidyalaya,,Uttar Pradesh
Dr. H.N. Sinha Arts and Commerce College,,Maharashtra
Dr. Harekrushna Mahatab College,,Odisha
Dr. Hari Shankar Mishra Mahavidyalaya,,Uttar Pradesh
Dr. Harivansh Rai Bachchan Mahavidyalaya,,Uttar Pradesh
Dr. Islam Majeed Teacher’s Training College,,Uttar Pradesh
Dr. Islam Majid Degree College,,Uttar Pradesh
Dr. J.J. Magdum College of Engineering,Kolhapur,Maharashtra
Dr. Jadunath College,,Odisha
Dr. Jagannath Mishra College,Muzaffarpur,Bihar
Dr. Jagannath Mishra College,,Jharkhand
Dr. Jagnnath Mishra Sanskrit College,Madhubani,Bihar
Dr. Jhasaketan Sahu College,Sambalpur,Odisha
Dr. Jyothirmayi Degree College,Kurnool,Andhra Pradesh
Dr. K. Shivaramakarantha Government First Grade College,,Karnataka
Dr. K.R.R.M. Degree College,Guntur,Andhra Pradesh
Dr. K.S.P.R. College of Education,Guntur,Andhra Pradesh
Dr. K.V. Subba Reddy Institute of Pharmacy,Kurnool,Andhra Pradesh
Dr. K.V. Subba Reddy Institute of Technology,Kurnool,Andhra Pradesh
Dr. Kailash Nath Singh Mahavidyalaya,,Uttar Pradesh
Dr. Kailashnath Katju Vidhi Mahavidyalaya,,Madhya Pradesh
Dr. Kanailal Bhattacharyya College,,West Bengal
Dr. Lankapalli Bullayya College,Visakhapatnam,Andhra Pradesh
Dr. Lohiya Karpoori V.D. College,Samastipur,Bihar
Dr. Lohiya Mahila Mahavidyalaya,,Uttar Pradesh
Dr. M.K.. Umathe Arts & Ramchandrarao Mokhare Commerce College,,Maharashtra
Dr. M.V. Shetty College of Physiotherapy,,Karnataka
Dr. M.V. Shetty College of Social Work,,Karnataka
Dr. M.V. Shetty College of Speech and Hearing,,Karnataka
Dr. Mahalingam College of Engineering and Technology,Pollachi,Tamil Nadu
Dr. Mahendra Kumar Chhote Lal Bind Mahavidyalaya,Allahabad,Uttar Pradesh
Dr. Manrakhan Lal Sahu Government College.,Durg,Chhattisgarh
Dr. Meghnad Saha College,Uttar Dinajpur,West Bengal
Dr. MGR Janaki College of Arts and Science for Women,,Tamil Nadu
Dr. Milind Bimbe College,Jalgaon,Maharashtra
Dr. Mithilesh Mani Tripathi Adarsh Degree College,Siddharthnagar,Uttar Pradesh
Dr. MPS Memorial College of Business Studies,,Uttar Pradesh
Dr. Mrs. Indira Bai B. Pathak Mahila Mahavidyalaya,,Maharashtra
Dr. N.G.P. Arts & Science College,Coimbatore,Tamil Nadu
Dr. N.G.P. Institute of Technology,Coimbatore,Tamil Nadu
Dr. N.S.A.M. First Grade College,Bangalore,Karnataka
Dr. N.S.A.M. First Grade College,,Karnataka
Dr. Nobin Bordoloi College,Jorhat,Assam
Dr. P.  Dayananda Pai - P. Satisha Pai Government First Grade College,Dakshina Kannada,Karnataka
Dr. P.D. Patil College of Computer Science & Management Studies,,Maharashtra
Dr. P.D.B.H. Government Post-Graduate College,,Uttarakhand
Dr. P.G.A.S. Samiti’s Pandit Panchaxara Gavaigalavara Music College,,Karnataka
Dr. P.N. Singh Degree College,Saran,Bihar
Dr. Panjabrao Deshmukh College of Law,,Maharashtra
Dr. Panjabrao Deshmukh College of Law,,Maharashtra
Dr. Parashuram Deen Bandhu Mahavidyalaya,Ambedkar Nagar,Uttar Pradesh
Dr. Parshuram Mishra Institute of Advanced Study In Education,,Odisha
Dr. Pushpendra Singh Smarak Mahavidyalaya,,Uttar Pradesh
Dr. R. Ahmed Dental College and Hospital,,West Bengal
Dr. R.A.N.M. Arts & Science College,Erode,Tamil Nadu
Dr. R.K. Shanmugam College of Arts & Science,Viluppuram,Tamil Nadu
Dr. R.K. Shanmugam College of Education,Viluppuram,Tamil Nadu
Dr. R.M.L.S. College,Muzaffarpur,Bihar
Dr. R.P. Richharia Degree College,,Uttar Pradesh
Dr. R.V. Arts and Science College,Coimbatore,Tamil Nadu
Dr. Radha Bai Govt. Navin Kanya Mahavidyalaya,,Chhattisgarh
Dr. Rafiq Zakaria College for Women,,Maharashtra
Dr. Rajendra Prasad Memorial Girls Degree College,,Uttar Pradesh
Dr. Ram Bahadur Singh Memorial Mahavidyalaya,,Uttar Pradesh
Dr. Ram Krishna Thakur Janta Sanskrit Mahavidyalaya,Madhubani,Bihar
Dr. Ram Kumar Gayatri Devi Degree College,,Uttar Pradesh
Dr. Ram Manohar Lohia Degree College,,Uttar Pradesh
Dr. Ram Manohar Lohia Degree College,,Uttar Pradesh
Dr. Ram Manohar Lohia Degree College,,Uttar Pradesh
Dr. Ram Manohar Lohia Degree College,,Uttar Pradesh
Dr. Ram Manohar Lohia Degree College,,Uttar Pradesh
Dr. Ram Manohar Lohia Government Degree College,,Uttar Pradesh
Dr. Ram Manohar Lohia Mahavidhyalaya,,Uttar Pradesh
Dr. Ram Manohar Lohia Mahavidyalaya,,Uttar Pradesh
Dr. Ram Manohar Lohia Mahavidyalaya,,Uttar Pradesh
Dr. Ram Manohar Lohia Mahavidyalaya,,Uttar Pradesh
Dr. Ram Manohar Lohia Chobisa Mahavidyalaya,,Uttar Pradesh
Dr. Ram Manohar Lohiya Balika Mahavidyalaya,Pratapgarh,Uttar Pradesh
Dr. Ram Manohar Lohiya Degree College,,Uttar Pradesh
Dr. Ram Manohar Lohiya Government Degree College,Jaunpur,Uttar Pradesh
Dr. Ram Manohar Lohiya Mahavidyalaya,Gorakhpur,Uttar Pradesh
Dr. Ram Manohar Lohiya Mahavidyalaya,,Uttar Pradesh
Dr. Ram Manohar Lohiya Mahavidyalaya,,Uttar Pradesh
Dr. Ram Manohar Lohiya Mahavidyalaya,,Uttar Pradesh
Dr. Ram Manohar Lohiya Mahavidyalaya,,Uttar Pradesh
Dr. Ram Manohar Lohiya Subedar Mahavidyalaya,,Uttar Pradesh
Dr. Ram Manohur Lohiya Mahavidyalaya,,Uttar Pradesh
Dr. Ram Narayan Mahila Mahavidyalaya,,Uttar Pradesh
Dr. Rama Prasanna Maniram Singh Mahavidyalaya,,Uttar Pradesh
Dr. Rammanohar Lohia College of Law,,Karnataka
Dr. Rammanohar Lohiya Mahila Mahavidyalaya,Jhansi,Uttar Pradesh
Dr. Ramnaresh Mahavidyalaya,Azamgarh,Uttar Pradesh
Dr. Ramraj Singh Mahila Mahavidyalaya,Nalanda,Bihar
Dr. Rishikant Siddarth Mahavidyalaya,,Uttar Pradesh
Dr. Rishikant Siddarth Mahavidyalaya,Etah,Uttar Pradesh
Dr. Rizvi College of Law,,Uttar Pradesh
Dr. Rohini Kanta Barua Law College,,Assam
Dr. S. & S.S. Gandhy Government Engineering College,,Gujarat
Dr. S. Gopalaraju Government First Grade College,Bangalore,Karnataka
DR. S.C GulhanePrerna College of Commerce Science and Arts.,Nagpur,Maharashtra
Dr. S.K. Sinha Women's College,Purbi Champaran,Bihar
Dr. S.N.N. Government Degree College,,Uttarakhand
Dr. S.P. Singh College of Teacher Education,,Bihar
Dr. S.R. Chandrasekhar Institute of Speech and Hearing,Bangalore,Karnataka
Dr. Samala Ramaiah Janakamma Degree College,Sri Potti Sriramulu Nellore,Andhra Pradesh
Dr. Sampurnanand Medical College,,Rajasthan
Dr. Samuel George Institute of Engineering & Technology,Prakasam,Andhra Pradesh
Dr. Samuel George Institute of Pharmaceutical Sciences,Prakasam,Andhra Pradesh
Dr. Saravepalli Radhakrishna Government Arts College,,Puducherry
Dr. Sarojini B.S.W. College,Dharwad,Karnataka
Dr. Shadi Lal College of Education,,Uttar Pradesh
Dr. Shashi Bhushan Institute of Education,Hailakandi,Assam
Dr. Shashi Kant Singh Mahavidyalaya,Varanasi,Uttar Pradesh
Dr. Shiv Uma Gupta Degree College,Fatehpur,Uttar Pradesh
Dr. Shivanand Nautiyal Government Post Graduate College,Chamoli,Uttarakhand
Dr. Shivling Shivacharaya Maharaj Pratishtan’s College of Education (B.Ed.),Latur,Maharashtra
Dr. Shyama Prasad Mukherjee Degree College,,Uttar Pradesh
Dr. Shyama Prasad Mukherjee Govt. Degree College,,Uttar Pradesh
Dr. Shyamprasad Mukharji Arts College,,Maharashtra
Dr. Sivanthi Aditanar College of Physical Education,,Tamil Nadu
Dr. SNS College of Education,,Tamil Nadu
Dr. SNS Rajalakshmi College of Arts & Science,Coimbatore,Tamil Nadu
Dr. Subhash Mahila Arts Commerce and Home Science College,,Gujarat
Dr. Subhash Mahila College of Education,,Gujarat
Dr. Sudhir Chandra Sur Institute of Technology and Sports Complex,Kolkata,West Bengal
Dr. Susheela Grameen Mahavidyalaya,,Uttar Pradesh
Dr. Sushila Tiwari Private Mahavidyalaya,,Uttarakhand
Dr. T. Thimmaiah Institute of Technology,,Karnataka
Dr. T. Thimmaiah Institute of Technology,,Karnataka
Dr. T.M.A. Pai College of Education,,Karnataka
Dr. Uday Jasraj Ratna Mahila Mahavidyalaya,,Uttar Pradesh
Dr. Umayal Ramanathan College for Women,,Tamil Nadu
Dr. V S K Govt Degree College,Visakhapatnam,Andhra Pradesh
Dr. V.H. Dave Homoeopathic Medical College and S.I. Patel Homeopathic Hospital,,Gujarat
Dr. V.M. Medical College,,Maharashtra
DR. V.R.K Women’s College of Engineering & Technology,,Telangana
Dr. Virambhai Rajabhai Godhaniya College of Arts Commerce Home Science and Information Technology for Girls,,Gujarat
Dr. Virendra Swarup Institute of Professional Studies,,Uttar Pradesh
Dr. Vishwambhar Singh Pratap Singh Mahavidyalaya,,Uttar Pradesh
Dr. Vithalrao Vikhe Patil Foundation’s Medical College & Hospital,,Maharashtra
Dr. Vithalrao Vikhe Patil Foundation’s College of Nursing,Ahmadabad,Maharashtra
Dr. Z.H. Degree College,,Uttar Pradesh
Dr. Z.H.T.T. College,Darbhanga,Bihar
Dr. Zakir Husain College,Sivagangai,Tamil Nadu
Dr. Zakir Hussain First Grade College,,Karnataka
Dr.B.R. Ambedkar College,,West Bengal
Draupadi Devi Vindhayachal Degree College,,Uttar Pradesh
DRIEMS,,Odisha
DRK Institute of Science & Technology,Hyderabad,Telangana
Dronacharya College of Education,,Himachal Pradesh
Dronacharya College of Engineering,,Haryana
Dronacharya Govt. College,,Haryana
DSBG Govt. First Grade College,,Karnataka
Duddupudi Degree College for Women,Raichur,Karnataka
Dudhnath Singh Smarak Mahavidyalaya,Jaunpur,Uttar Pradesh
Dudhnoi College,Goalpara,Assam
Dugheshwar Nath Sanskrit Mahavidyalaya,,Uttar Pradesh
Duja Devi Degree College,,Uttar Pradesh
Dukhulal Nibaran Chandra College,,West Bengal
Dulari Devi Degree College,,Uttar Pradesh
Dulari Mahila Mahavidyalaya,Ambedkar Nagar,Uttar Pradesh
Duleshwari Sukhdev (D.S.) Memorial Girls Degree College,Ballia,Uttar Pradesh
Duliajan College,Dibrugarh,Assam
Duliajan Girls’ College,Dibrugarh,Assam
Dum Dum Motijeel College,,West Bengal
Dum Dum Motijheel Rabindra Mahavidyalaya,,West Bengal
Dumakal College,,West Bengal
Dumkal Institute of Engineering & Technology,Murshidabad,West Bengal
Dumri Mahavidyalaya,Gumla,Jharkhand
Dunguripali College,,Odisha
Durama College,West Garo Hills,Meghalaya
Durga College of Education,Jammu,Jammu and Kashmir
Durga Mahavidyalaya,,Chhattisgarh
Durga Narain Degree (PG) College,,Uttar Pradesh
Durgabai Deshmukh College of Special Education(Visual Impairment),,Delhi
Durgadevi Saraf Institute of Management Studies,,Maharashtra
Durgadut Chunnilal Sagarmal Khandelwal Post-Graduate College,,Uttar Pradesh
Durgapur Government College,,West Bengal
Durgapur Institute of Advanced Technology & Management,,West Bengal
Durgapur Institute of Legal Studies,Barddhaman,West Bengal
Durgapur Women's College,,West Bengal
Durgawati Radheshyam Balika Mahavidyalaya,Ghazipur,Uttar Pradesh
Dushyant Singh Bhale Sultan Mahavidyalaya.,,Uttar Pradesh
Dutika Sahu College,,Odisha
Duvvuru Ramanamma Women's Degree College,,Andhra Pradesh
Dwaba Sanskrit Prachar Samiti Mahavidyalaya,,Uttar Pradesh
Dwaraka Doss Goverdhan Doss Vaishnav College,,Tamil Nadu
Dwarika Prasad Mahavidyalaya,,Uttar Pradesh
Dwarika Prasad Sinha Mahila Mahavidyalaya,Ballia,Uttar Pradesh
Dwarka Nath College,Patna,Bihar
Dwijendralal College,,West Bengal
Dyal Singh College,Karnal,Haryana
E.C.I. Mahila Mahavidyalaya,,Uttar Pradesh
E.G.S. Pillay Engineering College,,Tamil Nadu
E.K. Nayanar Memorial Government College,,Kerala
E.M.E.A. College of Arts & Science,,Kerala
E.M.G. Yadava Women's College,,Tamil Nadu
E.R.K. Arts and Science College,,Tamil Nadu
Easa College of Engineering and Technology,Coimbatore,Tamil Nadu
East Calcutta Girls' College,,West Bengal
East N West Teacher’s Training College,Saharsa,Bihar
East Point College of Engineering & Technology,,Karnataka
East West Institute of Technology,Bangalore,Karnataka
Eastern Christian College,,Nagaland
Eastern Karbi Anglong College,Karbi Anglong,Assam
Easwari Engineering College,Chennai,Tamil Nadu
Edayathangudy G.S. Pillay Arts & Science College,Nagapattinam,Tamil Nadu
Education B.Ed College,,Gujarat
Education College,Murshidabad,West Bengal
Edurite College of Management Studies,,Karnataka
Egra Sarada Shasibhusan College,,West Bengal
EGS Pillay College of Education,Nagapattinam,Tamil Nadu
Ekalabya Panchayat Samiti College (+3),,Odisha
Ekamra Mahavidyalaya,,Odisha
Eklavya Mahavidyalaya,,Uttar Pradesh
Eknath Sitarama Divekar College,Pune,Maharashtra
Ekram Nabi Khan Girls Degree College,Sant Kabir Nagar,Uttar Pradesh
Ekshala College of Education,,Telangana
Eliezer Joldan Memorial College,Ladakh,Jammu and Kashmir
Ellenki College of Engineering & Technology,,Telangana
Elphinstone College,Mumbai,Maharashtra
Emarti Devi Women's College,,Odisha
Emerald Height College for Women,,Tamil Nadu
Engineering College,,Chhattisgarh
Er. Perumal Manimekalai College of Engineering,Krishnagiri,Tamil Nadu
Er. R.S.V. Mahavidyalaya,,Uttar Pradesh
Eram College,Bara Banki,Uttar Pradesh
Eram Girls Degree College,Lucknow,Uttar Pradesh
Erode Arts and Science College,Erode,Tamil Nadu
Erode Sengunthar Engineering College,,Tamil Nadu
Eswar College of Engineering,,Andhra Pradesh
Evening College,,Telangana
Ewing Christian College,,Uttar Pradesh
Excel Business School,Komarapalayam,Tamil Nadu
Excel College of Engineering and Technology,Komarapalayam,Tamil Nadu
Excel College of Technology,Komarapalayam,Tamil Nadu
Excel Engineering College,Komarapalayam,Tamil Nadu
